country_code,gender,year,urban_population
USA,MA,2002,39.004784
ARE,MA,2002,56.15811
SGP,MA,2002,49.632927
MMR,MA,2002,14.127142
MYS,MA,2002,32.92834
AUS,FE,2003,44.517544
CHN,FE,2003,20.577055
JPN,FE,2003,43.970264
PHL,FE,2003,23.571154
THA,FE,2003,19.577486
VNM,FE,2003,13.934407
GBR,FE,2003,40.93314
USA,FE,2003,40.923847
ARE,FE,2003,26.102674
SGP,FE,2003,50.367073
MMR,FE,2003,14.802711
MYS,FE,2003,33.66739
AUS,MA,2003,43.484406
CHN,MA,2003,21.945156
JPN,MA,2003,42.007732
PHL,MA,2003,23.031658
THA,MA,2003,17.943869
VNM,MA,2003,13.346989
GBR,MA,2003,38.9826
USA,MA,2003,39.004784
ARE,MA,2003,56.15811
SGP,MA,2003,49.632927
MMR,MA,2003,14.127142
MYS,MA,2003,32.92834
AUS,FE,2004,44.517544
CHN,FE,2004,20.577055
JPN,FE,2004,43.970264
PHL,FE,2004,23.571154
THA,FE,2004,19.577486
VNM,FE,2004,13.934407
GBR,FE,2004,40.93314
USA,FE,2004,40.923847
ARE,FE,2004,26.102674
SGP,FE,2004,50.367073
MMR,FE,2004,14.802711
MYS,FE,2004,33.66739
AUS,MA,2004,43.484406
CHN,MA,2004,21.945156
JPN,MA,2004,42.007732
PHL,MA,2004,23.031658
THA,MA,2004,17.943869
VNM,MA,2004,13.346989
GBR,MA,2004,38.9826
USA,MA,2004,39.004784
ARE,MA,2004,56.15811
SGP,MA,2004,49.632927
MMR,MA,2004,14.127142
MYS,MA,2004,32.92834
AUS,FE,2005,44.517544
CHN,FE,2005,20.577055
JPN,FE,2005,43.970264
PHL,FE,2005,23.571154
THA,FE,2005,19.577486
VNM,FE,2005,13.934407
GBR,FE,2005,40.93314
USA,FE,2005,40.923847
ARE,FE,2005,26.102674
SGP,FE,2005,50.367073
MMR,FE,2005,14.802711
MYS,FE,2005,33.66739
AUS,MA,2005,43.484406
CHN,MA,2005,21.945156
JPN,MA,2005,42.007732
PHL,MA,2005,23.031658
THA,MA,2005,17.943869
VNM,MA,2005,13.346989
GBR,MA,2005,38.9826
USA,MA,2005,39.004784
ARE,MA,2005,56.15811
SGP,MA,2005,49.632927
MMR,MA,2005,14.127142
MYS,MA,2005,32.92834
AUS,FE,2006,44.683987
CHN,FE,2006,23.717001
JPN,FE,2006,46.40566
PHL,FE,2006,22.954926
THA,FE,2006,22.71769
VNM,FE,2006,15.720911
GBR,FE,2006,41.450367
USA,FE,2006,41.32703
ARE,FE,2006,24.555792
SGP,FE,2006,50.65958
MMR,FE,2006,16.138723
MYS,FE,2006,36.682583
AUS,MA,2006,44.05017
