country_code,gender,year,credit
ARE,FE,2002,26.10267534
SGP,FE,2002,50.36707453
MMR,FE,2002,14.80271024
MYS,FE,2002,33.66738895
AUS,MA,2002,43.48440546
CHN,MA,2002,21.94515608
JPN,MA,2002,42.00773356
PHL,MA,2002,23.03165892
THA,MA,2002,17.94386821
VNM,MA,2002,13.34698875
GBR,MA,2002,38.98260105
USA,MA,2002,39.00478257
ARE,MA,2002,56.15811039
SGP,MA,2002,49.63292547
MMR,MA,2002,14.12714229
MYS,MA,2002,32.92833927
AUS,FE,2003,44.51754386
CHN,FE,2003,20.57705452
JPN,FE,2003,43.9702628
PHL,FE,2003,23.57115391
THA,FE,2003,19.57748627
VNM,FE,2003,13.93440693
GBR,FE,2003,40.93314093
USA,FE,2003,40.92384779
ARE,FE,2003,26.10267534
SGP,FE,2003,50.36707453
MMR,FE,2003,14.80271024
MYS,FE,2003,33.66738895
AUS,MA,2003,43.48440546
CHN,MA,2003,21.94515608
JPN,MA,2003,42.00773356
PHL,MA,2003,23.03165892
THA,MA,2003,17.94386821
VNM,MA,2003,13.34698875
GBR,MA,2003,38.98260105
USA,MA,2003,39.00478257
ARE,MA,2003,56.15811039
SGP,MA,2003,49.63292547
MMR,MA,2003,14.12714229
MYS,MA,2003,32.92833927
AUS,FE,2004,44.51754386
CHN,FE,2004,20.57705452
JPN,FE,2004,43.9702628
PHL,FE,2004,23.57115391
THA,FE,2004,19.57748627
VNM,FE,2004,13.93440693
GBR,FE,2004,40.93314093
USA,FE,2004,40.92384779
ARE,FE,2004,26.10267534
SGP,FE,2004,50.36707453
MMR,FE,2004,14.80271024
MYS,FE,2004,33.66738895
AUS,MA,2004,43.48440546
CHN,MA,2004,21.94515608
JPN,MA,2004,42.00773356
PHL,MA,2004,23.03165892
THA,MA,2004,17.94386821
VNM,MA,2004,13.34698875
GBR,MA,2004,38.98260105
USA,MA,2004,39.00478257
ARE,MA,2004,56.15811039
SGP,MA,2004,49.63292547
MMR,MA,2004,14.12714229
MYS,MA,2004,32.92833927
AUS,FE,2005,44.51754386
CHN,FE,2005,20.57705452
JPN,FE,2005,43.9702628
PHL,FE,2005,23.57115391
THA,FE,2005,19.57748627
VNM,FE,2005,13.93440693
GBR,FE,2005,40.93314093
USA,FE,2005,40.92384779
ARE,FE,2005,26.10267534
SGP,FE,2005,50.36707453
MMR,FE,2005,14.80271024
MYS,FE,2005,33.66738895
AUS,MA,2005,43.48440546
CHN,MA,2005,21.94515608
JPN,MA,2005,42.00773356
PHL,MA,2005,23.03165892
THA,MA,2005,17.94386821
VNM,MA,2005,13.34698875
GBR,MA,2005,38.98260105
USA,MA,2005,39.00478257
ARE,MA,2005,56.15811039
SGP,MA,2005,49.63292547
MMR,MA,2005,14.12714229
MYS,MA,2005,32.92833927
AUS,FE,2006,44.683985
CHN,FE,2006,23.7170012
JPN,FE,2006,46.40565986
PHL,FE,2006,22.95492487
THA,FE,2006,22.71768923
VNM,FE,2006,15.72091143
GBR,FE,2006,41.45036815
USA,FE,2006,41.32703061
ARE,FE,2006,24.55579247
SGP,FE,2006,50.65957866
MMR,FE,2006,16.13872254
MYS,FE,2006,36.68258179
AUS,MA,2006,44.05016961
CHN,MA,2006,25.50900044
JPN,MA,2006,44.11674637
PHL,MA,2006,22.29998716
THA,MA,2006,21.36230836
VNM,MA,2006,14.67202713
GBR,MA,2006,39.85209532
USA,MA,2006,39.4455013
ARE,MA,2006,59.50011846
SGP,MA,2006,49.34042134
MMR,MA,2006,15.2664112
MYS,MA,2006,34.2316534
AUS,FE,2007,44.683985
CHN,FE,2007,23.7170012
JPN,FE,2007,46.40565986
PHL,FE,2007,22.95492487
THA,FE,2007,22.71768923
VNM,FE,2007,15.72091143
GBR,FE,2007,41.45036815
USA,FE,2007,41.32703061
ARE,FE,2007,24.55579247
SGP,FE,2007,50.65957866
MMR,FE,2007,16.13872254
MYS,FE,2007,36.68258179
AUS,MA,2007,44.05016961
CHN,MA,2007,25.50900044
JPN,MA,2007,44.11674637
PHL,MA,2007,22.29998716
THA,MA,2007,21.36230836
VNM,MA,2007,14.67202713
GBR,MA,2007,39.85209532
USA,MA,2007,39.4455013
ARE,MA,2007,59.50011846
SGP,MA,2007,49.34042134
MMR,MA,2007,15.2664112
MYS,MA,2007,34.2316534
AUS,FE,2008,44.683985
CHN,FE,2008,23.7170012
JPN,FE,2008,46.40565986
PHL,FE,2008,22.95492487
THA,FE,2008,22.71768923
VNM,FE,2008,15.72091143
GBR,FE,2008,41.45036815
USA,FE,2008,41.32703061
ARE,FE,2008,24.55579247
SGP,FE,2008,50.65957866
MMR,FE,2008,16.13872254
MYS,FE,2008,36.68258179
AUS,MA,2008,44.05016961
CHN,MA,2008,25.50900044
JPN,MA,2008,44.11674637
PHL,MA,2008,22.29998716
THA,MA,2008,21.36230836
VNM,MA,2008,14.67202713
GBR,MA,2008,39.85209532
USA,MA,2008,39.4455013
ARE,MA,2008,59.50011846
SGP,MA,2008,49.34042134
MMR,MA,2008,15.2664112
MYS,MA,2008,34.2316534
AUS,FE,2009,44.683985
CHN,FE,2009,23.7170012
JPN,FE,2009,46.40565986
PHL,FE,2009,22.95492487
THA,FE,2009,22.71768923
VNM,FE,2009,15.72091143
GBR,FE,2009,41.45036815
USA,FE,2009,41.32703061
ARE,FE,2009,24.55579247
SGP,FE,2009,50.65957866
MMR,FE,2009,16.13872254
MYS,FE,2009,36.68258179
AUS,MA,2009,44.05016961
CHN,MA,2009,25.50900044
JPN,MA,2009,44.11674637
PHL,MA,2009,22.29998716
THA,MA,2009,21.36230836
VNM,MA,2009,14.67202713
GBR,MA,2009,39.85209532
USA,MA,2009,39.4455013
