country_code,gender,year,suicide
GBR,FE,2005,4.1
USA,FE,2005,5.2
ARE,FE,2005,3.4
SGP,FE,2005,7.4
MMR,FE,2005,2.1
MYS,FE,2005,2.1
AUS,MA,2005,17.3
PHL,MA,2005,2.8
THA,MA,2005,14.1
VNM,MA,2005,8.2
GBR,MA,2005,11.8
USA,MA,2005,18.7
ARE,MA,2005,9.8
SGP,MA,2005,15
MMR,MA,2005,6.3
MYS,MA,2005,6.9
AUS,FE,2006,5.2
PHL,FE,2006,0.9
THA,FE,2006,4.1
VNM,FE,2006,4.3
GBR,FE,2006,3.8
USA,FE,2006,5.4
ARE,FE,2006,3.5
SGP,FE,2006,8.8
MMR,FE,2006,2.1
MYS,FE,2006,2.1
AUS,MA,2006,16.1
PHL,MA,2006,3
THA,MA,2006,13.8
VNM,MA,2006,8.6
GBR,MA,2006,12
USA,MA,2006,19.1
ARE,MA,2006,10.3
SGP,MA,2006,14.6
MMR,MA,2006,6.2
MYS,MA,2006,6.7
AUS,FE,2007,5.5
PHL,FE,2007,1
THA,FE,2007,4
VNM,FE,2007,4.3
GBR,FE,2007,3.6
USA,FE,2007,5.5
ARE,FE,2007,3.3
SGP,FE,2007,8.1
MMR,FE,2007,1.9
MYS,FE,2007,2.1
AUS,MA,2007,16.2
PHL,MA,2007,2.8
THA,MA,2007,13
VNM,MA,2007,9.1
GBR,MA,2007,11.7
USA,MA,2007,19.5
ARE,MA,2007,10.2
SGP,MA,2007,13.1
MMR,MA,2007,6
MYS,MA,2007,6.6
AUS,FE,2008,5.3
PHL,FE,2008,1
THA,FE,2008,3.8
VNM,FE,2008,4.3
GBR,FE,2008,3.8
USA,FE,2008,5.6
ARE,FE,2008,3.2
SGP,FE,2008,6.8
MMR,FE,2008,1.7
MYS,FE,2008,2.1
AUS,MA,2008,17.9
PHL,MA,2008,3
THA,MA,2008,12.5
VNM,MA,2008,9.6
GBR,MA,2008,12.6
USA,MA,2008,20
ARE,MA,2008,10.3
SGP,MA,2008,13.7
MMR,MA,2008,5.6
MYS,MA,2008,6.8
AUS,FE,2009,5.6
PHL,FE,2009,1.3
THA,FE,2009,3.7
VNM,FE,2009,4.2
GBR,FE,2009,3.7
USA,FE,2009,5.7
ARE,FE,2009,3.2
SGP,FE,2009,6.4
MMR,FE,2009,1.7
MYS,FE,2009,2.1
AUS,MA,2009,16.9
PHL,MA,2009,3.3
THA,MA,2009,12.4
VNM,MA,2009,9.7
GBR,MA,2009,12.5
